customer_id,customer_name,city,segment,signup_date,region,age
C0001,Customer 0001,,Consumer,2025-01-04,Punjab,54.0
C0002,Customer 0002,Lahore,Corporate,2025-10-22,Punjab,49.0
C0003,Customer 0003,Peshawar,Small Business,2026-01-23,KPK,61.0
C0004,Customer 0004,Rawalpindi,Corporate,2025-10-14,Punjab,63.0
C0005,Customer 0005,Karachi,Small Business,2025-07-19,Sindh,51.0
C0006,Customer 0006,Multan,Corporate,2026-03-07,Punjab,35.0
C0007,Customer 0007,Rawalpindi,Small Business,2025-07-12,Punjab,46.0
C0008,Customer 0008,Rawalpindi,Consumer,2026-01-05,Punjab,37.0
C0009,Customer 0009,Karachi,Corporate,2025-08-30,Sindh,47.0
C0010,Customer 0010,Lahore,Consumer,2025-01-14,Punjab,56.0
C0011,Customer 0011,Lahore,Consumer,2025-10-03,Punjab,35.0
C0012,Customer 0012,Multan,Corporate,2025-01-26,Punjab,41.0
C0013,Customer 0013,Islamabad,Small Business,2026-04-30,ICT,20.0
C0014,Customer 0014,Peshawar,Small Business,2025-11-09,KPK,52.0
C0015,Customer 0015,Lahore,Consumer,2025-07-13,Punjab,41.0
C0016,Customer 0016,Karachi,Corporate,2025-09-10,Sindh,39.0
C0017,Customer 0017,Lahore,Corporate,2025-11-18,Punjab,43.0
C0018,Customer 0018,Karachi,Consumer,2025-05-16,Sindh,28.0
C0019,Customer 0019,Peshawar,Consumer,2025-05-30,KPK,46.0
C0020,Customer 0020,Islamabad,Consumer,2025-08-06,ICT,53.0
C0021,Customer 0021,Rawalpindi,Corporate,2025-05-15,Punjab,34.0
C0022,Customer 0022,Lahore,Consumer,2026-01-30,Punjab,24.0
C0023,Customer 0023,Multan,Small Business,2025-02-23,Punjab,
C0024,Customer 0024,Multan,Consumer,2026-03-06,Punjab,27.0
C0025,Customer 0025,Rawalpindi,Small Business,2025-07-01,Punjab,35.0
C0026,Customer 0026,Karachi,Consumer,2025-10-19,Sindh,47.0
C0027,Customer 0027,Lahore,Corporate,2025-03-24,Punjab,23.0
C0028,Customer 0028,Karachi,Consumer,2025-07-20,Sindh,53.0
C0029,Customer 0029,Karachi,Consumer,2026-01-28,Sindh,28.0
C0030,Customer 0030,Islamabad,Corporate,2025-05-21,ICT,
C0031,Customer 0031,Rawalpindi,Small Business,2025-03-10,Punjab,52.0
C0032,Customer 0032,Multan,Small Business,2025-09-29,Punjab,30.0
C0033,Customer 0033,Karachi,Consumer,2025-03-26,Sindh,44.0
C0034,Customer 0034,Lahore,Consumer,2025-06-13,Punjab,23.0
C0035,Customer 0035,Lahore,Consumer,2025-08-23,Punjab,22.0
C0036,Customer 0036,Karachi,Consumer,2025-10-21,Sindh,62.0
C0037,Customer 0037,Karachi,Corporate,2025-11-29,Sindh,55.0
C0038,Customer 0038,Lahore,Corporate,2025-12-18,Punjab,25.0
C0039,Customer 0039,Karachi,Corporate,2026-03-16,Sindh,31.0
C0040,Customer 0040,Islamabad,Small Business,2025-02-04,ICT,27.0
C0041,Customer 0041,Lahore,Corporate,2025-07-08,Punjab,36.0
C0042,Customer 0042,Peshawar,Corporate,2025-01-01,KPK,31.0
C0043,Customer 0043,Rawalpindi,Consumer,2025-01-05,Punjab,
C0044,Customer 0044,Karachi,Consumer,2025-04-21,Sindh,42.0
C0045,Customer 0045,Peshawar,Corporate,2025-11-08,KPK,26.0
C0046,Customer 0046,Peshawar,Small Business,2026-04-11,KPK,59.0
C0047,Customer 0047,Lahore,Consumer,2026-02-07,Punjab,52.0
C0048,Customer 0048,Karachi,Consumer,2025-12-03,Sindh,53.0
C0049,Customer 0049,Islamabad,Corporate,2026-02-09,ICT,25.0
C0050,Customer 0050,Karachi,Consumer,2025-03-31,Sindh,51.0
C0051,Customer 0051,Karachi,Consumer,2026-03-13,Sindh,
C0052,Customer 0052,Karachi,Small Business,2026-04-08,Sindh,26.0
C0053,Customer 0053,Rawalpindi,Corporate,2025-02-19,Punjab,53.0
C0054,Customer 0054,Islamabad,Consumer,2025-09-02,ICT,34.0
C0055,Customer 0055,Rawalpindi,Small Business,2026-03-08,Punjab,55.0
C0056,Customer 0056,Rawalpindi,Consumer,2025-09-05,Punjab,40.0
C0057,Customer 0057,,Small Business,2026-03-14,Punjab,55.0
C0058,Customer 0058,Lahore,Consumer,2026-05-02,Punjab,24.0
C0059,Customer 0059,Karachi,Consumer,2025-09-04,Sindh,36.0
C0060,Customer 0060,Karachi,Consumer,2025-01-31,Sindh,30.0
C0061,Customer 0061,Islamabad,Consumer,2025-06-26,ICT,29.0
C0062,Customer 0062,Lahore,Small Business,2025-04-22,Punjab,32.0
C0063,Customer 0063,Lahore,Consumer,2025-09-04,Punjab,35.0
C0064,Customer 0064,Rawalpindi,Consumer,2025-11-01,Punjab,23.0
C0065,Customer 0065,Islamabad,Consumer,2025-08-30,ICT,51.0
C0066,Customer 0066,Lahore,Corporate,2025-04-12,Punjab,43.0
C0067,Customer 0067,Lahore,Corporate,2025-06-06,Punjab,56.0
C0068,Customer 0068,Karachi,Small Business,2025-12-20,Sindh,51.0
C0069,Customer 0069,Karachi,Consumer,2025-01-15,Sindh,25.0
C0070,Customer 0070,Lahore,Consumer,2025-04-22,Punjab,21.0
C0071,Customer 0071,Karachi,Consumer,2026-04-10,Sindh,37.0
C0072,Customer 0072,Lahore,Consumer,2025-02-21,Punjab,40.0
C0073,Customer 0073,Peshawar,Small Business,2025-08-04,KPK,29.0
C0074,Customer 0074,Karachi,Corporate,2025-04-18,Sindh,54.0
C0075,Customer 0075,Karachi,Consumer,2025-02-24,Sindh,45.0
C0076,Customer 0076,Karachi,Consumer,2025-08-08,Sindh,53.0
C0077,Customer 0077,Karachi,Small Business,2025-09-29,Sindh,23.0
C0078,Customer 0078,Islamabad,Consumer,2025-04-02,ICT,
C0079,Customer 0079,Lahore,Consumer,2025-02-10,Punjab,27.0
C0080,Customer 0080,Rawalpindi,Consumer,2025-03-12,Punjab,39.0
C0081,Customer 0081,Islamabad,Consumer,2025-12-05,ICT,38.0
C0082,Customer 0082,Lahore,Consumer,2026-03-24,Punjab,56.0
C0083,Customer 0083,Peshawar,Consumer,2025-04-04,KPK,31.0
C0084,Customer 0084,Karachi,Consumer,2025-06-16,Sindh,29.0
C0085,Customer 0085,Karachi,Corporate,2025-06-28,Sindh,33.0
C0086,Customer 0086,,Consumer,2025-07-07,Sindh,34.0
C0087,Customer 0087,Rawalpindi,Consumer,2025-05-08,Punjab,26.0
C0088,Customer 0088,Lahore,Small Business,2025-01-29,Punjab,26.0
C0089,Customer 0089,Karachi,Corporate,2025-10-01,Sindh,
C0090,Customer 0090,Lahore,Consumer,2025-07-05,Punjab,39.0
C0091,Customer 0091,Karachi,Consumer,2025-06-27,Sindh,34.0
C0092,Customer 0092,Rawalpindi,Small Business,2025-05-18,Punjab,36.0
C0093,Customer 0093,Lahore,Consumer,2026-04-29,Punjab,51.0
C0094,Customer 0094,Lahore,Consumer,2025-11-14,Punjab,29.0
C0095,Customer 0095,Karachi,Small Business,2025-08-06,Sindh,60.0
C0096,Customer 0096,Islamabad,Consumer,2025-04-17,ICT,53.0
C0097,Customer 0097,Lahore,Corporate,2026-02-21,Punjab,26.0
C0098,Customer 0098,Karachi,Consumer,2026-04-07,Sindh,32.0
C0099,Customer 0099,Karachi,Corporate,2025-01-17,Sindh,26.0
C0100,Customer 0100,Multan,Consumer,2026-04-29,Punjab,30.0
C0101,Customer 0101,Multan,Consumer,2025-12-30,Punjab,35.0
C0102,Customer 0102,Rawalpindi,Consumer,2025-02-21,Punjab,24.0
C0103,Customer 0103,Karachi,Consumer,2026-01-27,Sindh,18.0
C0104,Customer 0104,Multan,Small Business,2025-02-25,Punjab,38.0
