order_item_id,order_id,product_id,quantity,unit_price,discount
OI0000001,O000001,P009,2,22000.0,0.0
OI0000002,O000002,P010,1,5525.0,0.15
OI0000003,O000003,P006,2,15000.0,0.0
OI0000004,O000004,P008,1,18000.0,0.0
OI0000005,O000004,P006,3,13500.0,0.1
OI0000006,O000005,P011,1,22800.0,0.05
OI0000007,O000006,P002,1,52000.0,0.2
OI0000008,O000006,P004,1,25200.0,0.1
OI0000009,O000007,P006,1,14250.0,0.05
OI0000010,O000008,P004,2,28000.0,0.0
OI0000011,O000009,P005,1,52000.0,0.0
OI0000012,O000009,P009,3,22000.0,0.0
OI0000013,O000010,P008,1,18000.0,0.0
OI0000014,O000011,P008,2,16200.0,0.1
OI0000015,O000012,P009,1,22000.0,0.0
OI0000016,O000013,P009,2,19800.0,0.1
OI0000017,O000014,P003,2,12000.0,0.0
OI0000018,O000015,P006,2,14250.0,0.05
OI0000019,O000016,P004,2,26600.0,0.05
OI0000020,O000017,P008,1,18000.0,0.0
OI0000021,O000018,P002,1,58500.0,0.1
OI0000022,O000019,P002,1,65000.0,0.0
OI0000023,O000020,P011,2,22800.0,0.05
OI0000024,O000021,P007,3,4275.0,0.05
OI0000025,O000022,P001,3,8500.0,0.0
OI0000026,O000023,P007,1,3825.0,0.15
OI0000027,O000024,P009,1,22000.0,0.0
OI0000028,O000025,P003,1,10200.0,0.15
OI0000029,O000026,P001,2,7225.0,0.15
OI0000030,O000026,P002,1,65000.0,0.0
OI0000031,O000027,P003,1,12000.0,0.0
OI0000032,O000028,P008,2,18000.0,0.0
OI0000033,O000028,P001,1,8075.0,0.05
OI0000034,O000029,P004,2,28000.0,0.0
OI0000035,O000029,P011,2,20400.0,0.15
OI0000036,O000030,P012,3,2500.0,0.0
OI0000037,O000031,P001,3,8075.0,0.05
OI0000038,O000032,P012,1,2125.0,0.15
OI0000039,O000032,P007,3,4050.0,0.1
OI0000040,O000033,P006,3,14250.0,0.05
OI0000041,O000034,P007,3,4275.0,0.05
OI0000042,O000034,P010,3,5850.0,0.1
OI0000043,O000035,P007,1,3825.0,0.15
OI0000044,O000036,P009,2,20900.0,0.05
OI0000045,O000036,P004,3,23800.0,0.15
OI0000046,O000037,P009,3,19800.0,0.1
OI0000047,O000037,P001,1,7225.0,0.15
OI0000048,O000038,P011,2,22800.0,0.05
OI0000049,O000039,P007,2,4050.0,0.1
OI0000050,O000040,P006,3,15000.0,0.0
