order_id,customer_id,order_date,status,sales_channel,shipping_city
O000001,C0096,2026-08-26,Delivered,Marketplace,Multan
O000002,C0492,2026-02-07,Delivered,Website,Karachi
O000003,C0002,2026-01-26,Delivered,Website,Karachi
O000004,C0444,2026-08-17,Delivered,Website,Lahore
O000005,C0170,2026-08-23,Delivered,Mobile App,Karachi
O000006,C0577,2026-02-10,Delivered,Website,Lahore
O000007,C0286,2026-04-08,Returned,Website,Islamabad
O000008,C0163,2026-06-02,Delivered,Mobile App,Islamabad
O000009,C0146,2026-02-17,Delivered,Website,Rawalpindi
O000010,C0496,2026-03-21,Delivered,Mobile App,Karachi
O000011,C0242,2026-04-07,Cancelled,Website,Karachi
O000012,C0212,2026-06-05,Delivered,Website,Peshawar
O000013,C0442,2026-03-16,Delivered,Website,Karachi
O000014,C0323,2026-04-11,Cancelled,Website,Karachi
O000015,C0399,2026-03-12,Delivered,Mobile App,Lahore
O000016,C0268,2026-07-04,Returned,Website,Rawalpindi
O000017,C0039,2026-02-07,Delivered,Mobile App,Karachi
O000018,C0004,2026-02-26,Delivered,Mobile App,Multan
O000019,C0024,2026-03-02,Shipped,Website,Karachi
O000020,C0345,,Cancelled,Marketplace,Multan
O000021,C0309,2026-08-18,Delivered,Marketplace,Karachi
O000022,C0449,2026-05-02,Delivered,Website,Rawalpindi
O000023,C0537,2026-02-08,Delivered,Marketplace,Lahore
O000024,C0105,2026-07-03,Delivered,Website,Peshawar
O000025,C0575,2026-04-30,Delivered,Mobile App,Lahore
O000026,C0559,2026-07-26,Delivered,Website,Peshawar
O000027,C0370,2026-03-29,Delivered,Mobile App,Rawalpindi
O000028,C0319,2026-08-31,Delivered,Mobile App,Islamabad
O000029,C0106,2026-07-16,Delivered,Marketplace,Karachi
O000030,C0107,2026-02-24,Delivered,Marketplace,Karachi
O000031,C0012,2026-06-26,Delivered,Website,Multan
O000032,C0388,2026-03-11,Delivered,Mobile App,Multan
O000033,C0260,2026-03-26,Delivered,Website,Karachi
O000034,C0116,2026-03-02,Delivered,Website,Karachi
O000035,C0081,2026-06-15,Delivered,Website,Karachi
O000036,C0039,2026-03-05,Delivered,Marketplace,Karachi
O000037,C0385,2026-06-05,Delivered,Mobile App,Karachi
O000038,C0412,2026-05-22,Delivered,Website,Peshawar
O000039,C0379,2026-07-02,Delivered,Marketplace,Karachi
O000040,C0067,2026-08-30,Delivered,Mobile App,Multan
O000041,C0025,2026-01-03,Delivered,Website,Multan
O000042,C0064,2026-08-29,Delivered,Website,Karachi
O000043,C0451,2026-01-27,Delivered,Mobile App,Lahore
O000044,C0444,2026-05-09,Delivered,Mobile App,Lahore
O000045,C0177,2026-03-24,Delivered,Website,Karachi
O000046,C0034,2026-06-05,Delivered,Mobile App,Rawalpindi
O000047,C0192,2026-06-25,Delivered,Website,Islamabad
O000048,C0486,2026-07-28,Delivered,Mobile App,Karachi
O000049,C0087,2026-04-08,Delivered,Website,Multan
O000050,C0478,2026-08-15,Delivered,Website,Karachi
O000051,C0279,2026-03-20,Delivered,Website,Karachi
O000052,C0085,2026-02-19,Delivered,Mobile App,Multan
O000053,C0561,2026-04-03,Delivered,Website,Karachi
O000054,C0312,2026-05-09,Delivered,Website,Karachi
O000055,C0403,2026-06-12,Delivered,Website,Karachi
O000056,C0058,2026-07-22,Delivered,Marketplace,Karachi
O000057,C0223,2026-02-24,Delivered,Website,Lahore
