payment_id,order_id,payment_method,payment_status,amount
PAY0000001,O000001,Cash on Delivery,Paid,44000.0
PAY0000002,O000002,Bank Transfer,Paid,5525.0
PAY0000003,O000003,Cash on Delivery,Paid,30000.0
PAY0000004,O000004,Bank Transfer,Paid,58500.0
PAY0000005,O000005,Card,Paid,22800.0
PAY0000006,O000006,Cash on Delivery,Paid,77200.0
PAY0000007,O000007,Cash on Delivery,Paid,14250.0
PAY0000008,O000008,Card,Paid,56000.0
PAY0000009,O000009,Cash on Delivery,Paid,118000.0
PAY0000010,O000010,Card,Paid,18000.0
PAY0000011,O000011,Cash on Delivery,Paid,32400.0
PAY0000012,O000012,Cash on Delivery,Pending,22000.0
PAY0000013,O000013,Cash on Delivery,Paid,39600.0
PAY0000014,O000014,Cash on Delivery,Pending,24000.0
PAY0000015,O000015,Card,Paid,28500.0
PAY0000016,O000016,Cash on Delivery,Paid,53200.0
PAY0000017,O000017,Wallet,Paid,18000.0
PAY0000018,O000018,Card,Paid,58500.0
PAY0000019,O000019,Bank Transfer,Paid,65000.0
PAY0000020,O000020,Card,Paid,45600.0
PAY0000021,O000021,Cash on Delivery,Pending,12825.0
PAY0000022,O000022,Card,Paid,25500.0
PAY0000023,O000023,Bank Transfer,Paid,3825.0
PAY0000024,O000024,Card,Paid,22000.0
PAY0000025,O000025,Cash on Delivery,Paid,10200.0
PAY0000026,O000026,Card,Paid,79450.0
PAY0000027,O000027,Card,Paid,12000.0
PAY0000028,O000028,Wallet,Paid,44075.0
PAY0000029,O000029,Card,Paid,96800.0
PAY0000030,O000030,Card,Paid,7500.0
PAY0000031,O000031,Cash on Delivery,Paid,24225.0
PAY0000032,O000032,Card,Paid,14275.0
PAY0000033,O000033,Bank Transfer,Paid,42750.0
PAY0000034,O000034,Card,Paid,30375.0
PAY0000035,O000035,Cash on Delivery,Paid,3825.0
PAY0000036,O000036,Cash on Delivery,Paid,113200.0
PAY0000037,O000037,Bank Transfer,Paid,66625.0
PAY0000038,O000038,Card,Paid,45600.0
PAY0000039,O000039,Card,Paid,8100.0
PAY0000040,O000040,Bank Transfer,Paid,45000.0
PAY0000041,O000041,Card,Paid,24250.0
PAY0000042,O000042,Cash on Delivery,Paid,40050.0
PAY0000043,O000043,Bank Transfer,Paid,19500.0
PAY0000044,O000044,Wallet,Paid,28500.0
PAY0000045,O000045,Card,Paid,17100.0
PAY0000046,O000046,Bank Transfer,Pending,22000.0
PAY0000047,O000047,Bank Transfer,Paid,84000.0
PAY0000048,O000048,Wallet,Paid,53200.0
PAY0000049,O000049,Bank Transfer,Paid,75600.0
PAY0000050,O000050,Card,Paid,45000.0
PAY0000051,O000051,Wallet,Paid,104000.0
PAY0000052,O000052,Card,Paid,51300.0
PAY0000053,O000053,Card,Paid,34800.0
PAY0000054,O000054,Card,Pending,8500.0
PAY0000055,O000055,Cash on Delivery,Paid,30600.0
PAY0000056,O000056,Card,Paid,44200.0
PAY0000057,O000057,Card,Paid,70500.0
PAY0000058,O000058,Bank Transfer,Pending,15000.0
PAY0000059,O000059,Cash on Delivery,Paid,21675.0
PAY0000060,O000060,Cash on Delivery,Paid,124800.0
PAY0000061,O000061,Bank Transfer,Paid,163350.0
PAY0000062,O000062,Wallet,Paid,6175.0
PAY0000063,O000063,Card,Paid,53200.0
PAY0000064,O000064,Card,Paid,34200.0
PAY0000065,O000065,Wallet,Paid,148200.0
PAY0000066,O000066,Cash on Delivery,Paid,13500.0
PAY0000067,O000067,Card,Paid,30000.0
PAY0000068,O000068,Card,Paid,34200.0
PAY0000069,O000069,Wallet,Paid,59100.0
PAY0000070,O000070,Cash on Delivery,Paid,4050.0
PAY0000071,O000071,Bank Transfer,Paid,185250.0
PAY0000072,O000072,Cash on Delivery,Paid,101000.0
PAY0000073,O000073,Cash on Delivery,Pending,30600.0
PAY0000074,O000074,Bank Transfer,Paid,36000.0
PAY0000075,O000075,Card,Paid,-15000.0
PAY0000076,O000076,Bank Transfer,Paid,66000.0
PAY0000077,O000077,Cash on Delivery,Paid,16150.0
PAY0000078,O000078,Bank Transfer,Paid,45000.0
PAY0000079,O000079,Cash on Delivery,Paid,45000.0
PAY0000080,O000080,Card,Paid,14250.0
PAY0000081,O000081,Bank Transfer,Paid,18700.0
PAY0000082,O000082,Bank Transfer,Paid,64800.0
PAY0000083,O000083,Bank Transfer,Paid,11700.0
PAY0000084,O000084,Cash on Delivery,Paid,35000.0
PAY0000085,O000085,Cash on Delivery,Paid,17000.0
PAY0000086,O000086,Card,Paid,61750.0
PAY0000087,O000087,Card,Paid,44000.0
PAY0000088,O000088,Wallet,Paid,95600.0
PAY0000089,O000089,Bank Transfer,Paid,50700.0
PAY0000090,O000090,Cash on Delivery,Paid,65000.0
PAY0000091,O000091,Cash on Delivery,Paid,19800.0
PAY0000092,O000092,Card,Paid,69400.0
PAY0000093,O000093,Cash on Delivery,Paid,48600.0
PAY0000094,O000094,Wallet,Pending,18000.0
PAY0000095,O000095,Cash on Delivery,Paid,33300.0
PAY0000096,O000096,Cash on Delivery,Paid,12000.0
PAY0000097,O000097,Card,Paid,40800.0
PAY0000098,O000098,Card,Paid,52000.0
PAY0000099,O000099,Card,Paid,39600.0
PAY0000100,O000100,Card,Paid,39600.0
PAY0000101,O000101,Cash on Delivery,Pending,104000.0
PAY0000102,O000102,Wallet,Paid,36000.0
PAY0000103,O000103,Card,Paid,32400.0
PAY0000104,O000104,Bank Transfer,Paid,13000.0
PAY0000105,O000105,Card,Paid,90000.0
PAY0000106,O000106,Cash on Delivery,Paid,2375.0
PAY0000107,O000107,Cash on Delivery,Paid,80300.0
PAY0000108,O000108,Card,Paid,65100.0
PAY0000109,O000109,Card,Paid,7200.0
PAY0000110,O000110,Card,Paid,11400.0
PAY0000111,O000111,Card,Paid,12000.0
PAY0000112,O000112,Bank Transfer,Paid,25500.0
PAY0000113,O000113,Card,Paid,13000.0
PAY0000114,O000114,Card,Paid,48000.0
PAY0000115,O000115,Bank Transfer,Paid,17000.0
PAY0000116,O000116,Card,Paid,15000.0
PAY0000117,O000117,Card,Paid,58000.0
PAY0000118,O000118,Card,Paid,25500.0
PAY0000119,O000119,Bank Transfer,Paid,98800.0
PAY0000120,O000120,Wallet,Paid,24000.0
PAY0000121,O000121,Wallet,Paid,15300.0
PAY0000122,O000122,Card,Paid,185250.0
PAY0000123,O000123,Card,Paid,25500.0
PAY0000124,O000124,Bank Transfer,Paid,62700.0
PAY0000125,O000125,Bank Transfer,Paid,27700.0
PAY0000126,O000126,Card,Failed,83100.0
PAY0000127,O000127,Cash on Delivery,Paid,9000.0
PAY0000128,O000128,Card,Paid,6750.0
