review_id,order_id,review_score,review_date,review_text
R000001,O003099,3.0,2026-04-07,Good quality
R000002,O002532,4.0,2026-06-07,Late delivery
R000003,O004072,4.0,2026-08-20,Excellent product
R000004,O001288,5.0,2026-04-04,Late delivery
R000005,O002541,4.0,2026-04-02,Fast delivery
R000006,O000264,5.0,2026-03-31,Not as expected
R000007,O006124,5.0,2026-08-02,Great value
R000008,O002440,5.0,2026-04-18,Late delivery
R000009,O003750,3.0,2026-06-27,Average experience
R000010,O001200,4.0,2026-02-08,Not as expected
R000011,O001840,4.0,2026-08-12,Average experience
R000012,O002025,5.0,2026-05-11,Not as expected
R000013,O002227,4.0,2026-02-17,Good quality
R000014,O002940,5.0,2026-08-16,Fast delivery
R000015,O003642,3.0,2026-08-05,Damaged package
R000016,O002216,3.0,2026-08-01,Not as expected
R000017,O007095,5.0,2026-03-12,Excellent product
R000018,O000998,5.0,2026-02-11,Late delivery
R000019,O001034,3.0,2026-08-29,Great value
R000020,O002900,2.0,2026-06-25,Damaged package
R000021,O002749,4.0,2026-03-03,Damaged package
R000022,O004088,5.0,2026-01-10,Fast delivery
R000023,O003126,4.0,2026-08-02,Average experience
R000024,O002534,3.0,2026-02-15,Fast delivery
R000025,O006333,4.0,2026-07-24,Not as expected
R000026,O002535,4.0,2026-01-06,Good quality
R000027,O000643,3.0,2026-07-26,Average experience
R000028,O006077,4.0,2026-05-26,Average experience
R000029,O004553,1.0,2026-08-22,Great value
R000030,O002125,5.0,2026-04-28,Excellent product
R000031,O005562,5.0,2026-06-05,Fast delivery
R000032,O002998,5.0,2026-03-24,Good quality
R000033,O002346,5.0,2026-03-09,Late delivery
R000034,O002178,4.0,2026-05-25,Late delivery
R000035,O007141,4.0,2026-06-17,Great value
R000036,O002416,4.0,2026-03-02,Not as expected
R000037,O001026,5.0,2026-04-14,Not as expected
R000038,O000133,1.0,2026-04-20,Great value
R000039,O002698,5.0,2026-02-17,Average experience
R000040,O005454,5.0,2026-05-15,Excellent product
R000041,O003659,5.0,2026-07-25,Damaged package
R000042,O003549,5.0,2026-04-18,Not as expected
R000043,O004483,5.0,2026-01-26,Fast delivery
R000044,O004051,5.0,2026-01-02,Average experience
R000045,O003129,4.0,2026-04-11,Fast delivery
R000046,O005119,5.0,2026-07-09,Fast delivery
R000047,O004379,5.0,2026-02-13,Late delivery
R000048,O002891,5.0,2026-02-03,Late delivery
